community_id,mean_sentiment,std_sentiment,post_count,median_sentiment
4,0.3559936507936508,0.49985693933301073,126,0.43365
9,0.26228,0.4651990149730703,95,0.25
134,0.0,0.0,84,0.0
6,0.21573720930232557,0.5535046298353514,43,0.3966
3,0.20068048780487804,0.41781072402435543,41,0.0
1,0.20735405405405405,0.48070497396739825,37,0.1901
19,0.3875114285714286,0.4548791641559254,35,0.5756
10,0.08634411764705884,0.3098085080029534,34,0.0
2,0.16680303030303031,0.4535789295183698,33,0.0772
47,0.17943,0.3641957584160967,30,0.0
22,0.22192692307692305,0.5189041287619071,26,0.27465
110,0.17364615384615384,0.3759432182984757,26,0.09085
200,0.12239166666666668,0.35114656535742855,24,0.0
24,0.3698458333333334,0.45700218435322953,24,0.3506
36,0.3537619047619048,0.4790061392886217,21,0.4199
179,0.37757999999999997,0.45073824893460235,20,0.4202
18,-0.000231578947368416,0.29649830063712296,19,0.0
165,-0.08824210526315789,0.17513246515388628,19,0.0
11,0.15433888888888891,0.44520721829528126,18,0.189
16,0.2868555555555556,0.48714475348675695,18,0.43195
8,0.3327941176470588,0.5598452927713471,17,0.4404
26,0.48785,0.4281030935027995,16,0.56955
5,0.0,0.0,15,0.0
38,0.31422857142857147,0.550240931045485,14,0.5662499999999999
46,0.17526153846153847,0.31137186112016596,13,0.1655
37,0.11959230769230769,0.6685381071930236,13,0.0
14,0.09546666666666666,0.534915516410741,12,0.15515
163,0.2995,0.3257288889412621,12,0.2777
94,0.4242454545454546,0.38596869656394767,11,0.6249
146,0.051909090909090905,0.5819316153201259,11,-0.0
12,0.026354545454545453,0.33557248803689604,11,0.0
76,-0.04215,0.1332900033760972,10,0.0
13,0.28348999999999996,0.5371071865921074,10,0.39185
35,0.33668888888888887,0.30896917097197757,9,0.2732
23,0.38011111111111107,0.43416626839393124,9,0.0772
17,0.48086666666666666,0.3939533950862716,9,0.5106
41,0.15358888888888889,0.5309501799708812,9,0.0772
164,-0.12967777777777778,0.45894166235420863,9,0.0
25,-0.2374,0.5141878756141294,8,-0.41395000000000004
44,0.4305,0.4922119549253437,8,0.51865
195,0.238425,0.37515729177430174,8,0.07655
97,0.1105125,0.29821994489925435,8,0.0
99,0.08432500000000001,0.45534066603243023,8,0.09855
7,0.083875,0.27940290800204637,8,0.0
20,-0.1351625,0.1751978794514526,8,-0.148
55,0.3601375,0.49122567969606107,8,0.4753
30,0.16395714285714286,0.4420503133397934,7,0.4019
147,0.38020000000000004,0.6638768048365601,6,0.6376
31,0.4101333333333333,0.39668165910042613,6,0.31095
21,0.3937,0.4937737376572391,6,0.52225
15,0.23466666666666666,0.3313143924834336,6,0.32955
83,0.38566666666666666,0.24311921081368015,6,0.44365
58,0.3710333333333333,0.5066517804830717,6,0.4534
39,-0.12098333333333333,0.5213482498931656,6,-0.063
53,0.34676666666666667,0.49060396112003285,6,0.39904999999999996
33,0.82728,0.183965369023629,5,0.8669
80,0.3426,0.5594971537014287,5,0.4588
77,0.03952000000000001,0.604088794797586,5,0.2023
70,-0.0336,0.15680816305282066,5,0.0
89,0.41764,0.6871254128614368,5,0.6542
124,0.20836000000000002,0.3126714697569959,5,0.0
175,0.4424,0.6594250450202813,5,0.7659
182,0.14672000000000002,0.5776901565718426,5,0.2732
